Unnamed: 0,Source,Title,Location,Department,Rating,Date,review,Pros,Cons
0,AmbitionBox,Sales Officer,Jabalpur,Sales Support & Operations Department,5,23-10-2024,Have to learn moreover good.Need more payment,,
1,AmbitionBox,Quality Engineer,Kanpur,Quality Assurance and Testing Department,5,22-11-2024,"Work culture is very good, employees friendly. Nothing to dislike",,
2,AmbitionBox,Quality Engineer,Kanpur,Quality Assurance and Testing Department,5,22-11-2024,Everything is good. I have been working since 1 year. Nothing to dislike,,
3,AmbitionBox,ITI Electrician,Kanpur,"Operations, Maintenance & Support Department",5,22-11-2024,I intrested in your company. Hard work load,,
4,AmbitionBox,Management Staff,Ahmedabad,Management Department,5,22-11-2024,"Not more. Company policy , work culture, Hr policy,",,
5,AmbitionBox,Management Staff,Ahmedabad,Management Department,5,22-11-2024,Good salary. 5.5 days working. No flexibility in timings. Poor work culture. Bossisum.,,
6,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Group working fine. Non of them,,
7,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Deal with high volume package. Nothing,,
8,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Job security and working environment. Employee benefits Work life balance,,
9,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,I m working in Adani Sportsline And I do best for my Company and I love my Adani Company thank you,,
10,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,Yes. 6 Days working policy,,
11,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,"Team work. Nothing, because I just started.",,
12,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,NA. Saturday half day working,,
13,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,So many things. IJP process,,
14,AmbitionBox,Assistant Manager,Ahmedabad,Engineering Department,5,22-11-2024,Good. Nothing till time at,,
15,AmbitionBox,Assistant Manager,Ahmedabad,Engineering Department,5,22-11-2024,"Nothing, pathetic company. Everything is more than worst",,
16,AmbitionBox,Deputy Manager,Ahmedabad,Procurement & Purchase Department,5,21-11-2024,Reputed company. Manpower is very less,,
17,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,"Budget available to take initiatives. Culture, lack of strategy, Saturday working",,
18,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,Yes. No I am happy working with adani Group,,
19,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,"Work culture, at the unit was good irrespective of group. Nothing, all was avg and above.",,
20,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,Nothing. Work culture family life,,
21,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,Excellent work. Management it's weak,,
22,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,I wish to last 10 years ago that i recieve job in adani group so i wish to extremely in adani group. I can not to wish that came to problem in our work.,,
23,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,Employee satisfaction. Nothing to say for negative all is well,,
24,AmbitionBox,Deputy Digital Marketing Manager,Ahmedabad,Advertising & Creative Department,5,20-11-2024,Skill development through training module. NA,,
25,AmbitionBox,Senior Officer,Mirzapur,Accounting & Taxation Department,5,20-11-2024,Overall very nice. Nothing to dislike,,
26,AmbitionBox,Manager,Ahmedabad,Technology / IT Department,1,19-11-2024,Leave and medical policy and sustainability of group. Promotion and increment policy,,
27,AmbitionBox,Manager,Ahmedabad,Technology / IT Department,1,19-11-2024,Good. Job security not given,,
28,AmbitionBox,DPT.Manager,Singrauli,HR Operations Department,5,19-11-2024,Adani forwarding limited My best job 💪. No,,
29,AmbitionBox,DPT.Manager,Singrauli,HR Operations Department,5,19-11-2024,Job security. Untimely promotions and recognitions,,
30,AmbitionBox,Assistant Manager,Mumbai,Construction Engineering Department,4,19-11-2024,yes. i am working interested,,
31,AmbitionBox,"Sr.MIS Executive,sales Coordinator, Sales Support, backend operation, Customer support",Ahmedabad,Operations Department,1,19-11-2024,"Its a highly prestigious company that provides a strong platform in the current market. Adani policies are not consistent across all the domains. For example, RMRW gets the fewest perks, and there is no clear promotion criteria or strong employee welfare benefits.",,
32,AmbitionBox,Assistant Manager (Plant Quality Head),Navi Mumbai,Construction Engineering Department,4,19-11-2024,No planning of work. 10 percent employees are given no increament annually as per company rule.,,
33,AmbitionBox,Assistant Manager (Plant Quality Head),Navi Mumbai,Construction Engineering Department,4,19-11-2024,Good company. Work load and over time,,
34,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,The adani group is Vry Growing Company il working culture and environment are good. I have not dislike the Our company,,
35,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Yes. No work life balance available,,
36,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Best place to learning. No work fredom,,
37,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Overall all good 👍. No,,
38,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Salary on time. Transfer in third party contract.,,
39,AmbitionBox,Senior Officer,Ahmedabad,Facility Management Department,5,18-11-2024,Very good. Trust & stability,,
40,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Not more but ok. Culture is not friendly but ok to survive..,,
41,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Can learn of new skills internally. Company culture is a different one and responsibilities are reversed.,,
42,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Adoption of new skills and upgraded system. All good,,
43,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Career growth. Working condition in office,,
44,AmbitionBox,Accounts Receivable Executive,Ahmedabad,Aviation & Aerospace - Other Department,1,17-11-2024,Very good. Nothing to dislike at present,,
45,AmbitionBox,Mining Engineer,Katni,Mining Department,5,16-11-2024,Salary on time. Management politics.,,
46,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Very good culture but only for on roll employee off rol employee not satisfied with the process. No and no,,
47,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,👎🏻 don’t join this company. Advise don’t join this company,,
48,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Brand name. Doesn't care about Employees,,
49,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Just ok. People at Site top management doing favouritism openly.,,
50,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Growth opportunity. No dislikes as such everything satisfactory,,
51,AmbitionBox,Officer,Mundra,Operations Department,5,16-11-2024,Nice. Joining process is very slow,,
52,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,Work life balance. Policy implementation is not fully adopted.,,
53,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,Good Company to work with. NIL,,
54,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,"Brand, system, culture. Can't describe",,
55,AmbitionBox,Deputy General Manager,Korba,Power Generation Department,5,14-11-2024,Diversified Work Scope. HR policies,,
56,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Work as a sales officer. I work hard,,
57,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Delegation. Culture of work with central and site team,,
58,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Good opportunity and skill development very good. Ok,,
59,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,"Good experience, job satisfaction is good. Busy shedule, material theft control is big challenge",,
60,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,"Good Company to work, Employee friendly and Result oriented. There is nothing much to dislike",,
61,AmbitionBox,Project Engineer - Civil,Rajasthan,Construction Engineering Department,4,09-11-2024,Good company. Job security is poor,,
62,AmbitionBox,Operations Executive,Vapi,Executive Department,5,09-11-2024,Adani santigram is duty experience. Adani santigram working is my experience,,
63,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,"Good. no,.....adani group very nice and beautiful",,
64,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,Package full and other facilities. Frequent travelling and no social activities,,
65,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,"Fresher it's good. Very pethatic for off role job, no increment or no additional benefit",,
66,AmbitionBox,Land Acquisition Executive,Singrauli,Data Science & Analytics - Other Department,2,08-11-2024,Good. No problem I think average,,
67,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,On time salary. Micromanagement at all levels. Good only for those staffs who have joined through college campus.,,
68,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Great place for working. No,,
69,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Facilities is the Best. No issue,,
70,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,"Flexible timing, Appraisal on time Everything is fine. Nothing",,
