Category,Website,Product,Date,Title,review
Bathing Soap,amazon.com,Pears Transparent Original Soap,21-03-18 0:00,Four Stars,Nice mild odor soap.
Bathing Soap,amazon.com,Pears Transparent Original Soap,21-03-18 0:00,Five Stars,Love it reminds me of home
Bathing Soap,amazon.com,Pears Transparent Original Soap,17-03-18 0:00,Awesome product and perfect service. Buy with confidence.,Awesome product and perfect service. Buy with confidence.
Bathing Soap,amazon.com,Pears Transparent Original Soap,17-03-18 0:00,Highly recommend.,"Love the look, performance. Wash my hands constantly and this gentle soap cuts down on dryness."
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-03-18 0:00,I love the fresh smell,"Not quite as skin nourishing as I was expecting, however; I love the fresh smell, which doesn't linger; which I prefer. I recommend."
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-03-18 0:00,still a good product.,"I've used this for years since my skin is sensitive, still a good product."
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-10-03 00:00:00,I AM a grandma and I have been asked what do I use on my skin cause it's still good. I attribute Pears as part of the answer,ONLY soap I allow to touch my face. I AM a grandma and I have been asked what do I use on my skin cause it's still good. I attribute Pears as part of the answer. This is mild enough to use on babies. NO burning eyes at all with this gentle soap.
Bathing Soap,amazon.com,Pears Transparent Original Soap,26-02-18 0:00,Wife loves it,My Wife loves this soap so we keep buying it. Nuff said.
Bathing Soap,amazon.com,Pears Transparent Original Soap,19-02-18 0:00,Super gentle ideal for sensitive,This is my fave soap. Super gentle ideal for sensitive skin
Bathing Soap,amazon.com,Pears Transparent Original Soap,18-02-18 0:00,Simply fantastic soap! The BEST old-fashioned fragrance you can find ...,"Simply fantastic soap! The BEST old-fashioned fragrance you can find in any soap. I'll be buying Pears' original for as long as the company exists. The only thing we've found that can compete is the hand-made Gamrie Goat Milk Soap of Scotland, which is all but impossible to come by in the US. For us, it's Pears' original amber all the way!"
Bathing Soap,amazon.com,Pears Transparent Original Soap,21-03-18 0:00,Four Stars,Nice mild odor soap.
Bathing Soap,amazon.com,Pears Transparent Original Soap,21-03-18 0:00,Five Stars,Love it reminds me of home
Bathing Soap,amazon.com,Pears Transparent Original Soap,17-03-18 0:00,Awesome product and perfect service. Buy with confidence.,Awesome product and perfect service. Buy with confidence.
Bathing Soap,amazon.com,Pears Transparent Original Soap,17-03-18 0:00,Highly recommend.,"Love the look, performance. Wash my hands constantly and this gentle soap cuts down on dryness."
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-03-18 0:00,I love the fresh smell,"Not quite as skin nourishing as I was expecting, however; I love the fresh smell, which doesn't linger; which I prefer. I recommend."
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-03-18 0:00,still a good product.,"I've used this for years since my skin is sensitive, still a good product."
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-10-03 00:00:00,I AM a grandma and I have been asked what do I use on my skin cause it's still good. I attribute Pears as part of the answer,ONLY soap I allow to touch my face. I AM a grandma and I have been asked what do I use on my skin cause it's still good. I attribute Pears as part of the answer. This is mild enough to use on babies. NO burning eyes at all with this gentle soap.
Bathing Soap,amazon.com,Pears Transparent Original Soap,26-02-18 0:00,Wife loves it,My Wife loves this soap so we keep buying it. Nuff said.
Bathing Soap,amazon.com,Pears Transparent Original Soap,19-02-18 0:00,Super gentle ideal for sensitive,This is my fave soap. Super gentle ideal for sensitive skin
Bathing Soap,amazon.com,Pears Transparent Original Soap,18-02-18 0:00,Simply fantastic soap! The BEST old-fashioned fragrance you can find ...,"Simply fantastic soap! The BEST old-fashioned fragrance you can find in any soap. I'll be buying Pears' original for as long as the company exists. The only thing we've found that can compete is the hand-made Gamrie Goat Milk Soap of Scotland, which is all but impossible to come by in the US. For us, it's Pears' original amber all the way!"
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-02-18 0:00,"'As Good As Ever""","Most iportant was the fond memories of using this wonerfol soap when (together with my 2 sisters) we all received the Original Soap it as a Chrismas Present from our grandparents at every Christmas between 1940 and 1952, during which years our family was living in Kingston, Jamaica, West Indies. I still use ill use Original Pears Soap which is as good now as it was nearly 80years ago."
Bathing Soap,amazon.com,Pears Transparent Original Soap,14-02-18 0:00,Soap is good but these arent the 4,Soap is good but these arent the 4.4oz bars but the 3.5oz bars that I was trying to avoid. So its a bit of false advertisement and needs to be updated.
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-12-02 00:00:00,"Good, but not outstanding","I am not sure how the original formula was scented but it smells like pine and mine. A good strange, not too overpowering. It makes my skin feel squeaky clean and pretty fresh. I just started using it so if it helps more than any of my other cleansers I may repurchase."
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-11-02 00:00:00,"Finally, A Pure Soap Without Chemical Additives!!!",No soap better for any skin condition.
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-04-02 00:00:00,GOOD,"It is good, but not as good as SHEA MOISTURE'S BLACK SOAP."
Bathing Soap,amazon.com,Pears Transparent Original Soap,28-01-18 0:00,Five Stars,Item arrived on time and as described
Bathing Soap,amazon.com,Pears Transparent Original Soap,27-01-18 0:00,Very good soap that doesn't dry your skin like a lot ...,We have been using glycerine soap for years and Pears in particular. It seems hard to find and this was the second vendor I ordered from after the first one bailed on me. Very good soap that doesn't dry your skin like a lot of cleanser and additive soaps do.
Bathing Soap,amazon.com,Pears Transparent Original Soap,22-01-18 0:00,Five Stars,"Love this soap, have been using this on my children for years"
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-01-18 0:00,Altar Guild Approved Product,"Bought this time-tested product for my church altar guild. We swear by it for removing lipstick, red wine, makeup, and other tough stains that find their way onto liturgical linens."
Bathing Soap,amazon.com,Pears Transparent Original Soap,14-01-18 0:00,Five Stars,My favorite soap on earth
Bathing Soap,amazon.com,Pears Transparent Original Soap,2018-01-01 00:00:00,soap is great - Vendor cheated us 2 bars,"like pears soap and this is Pears soap, clear and doesn't leave residue in the glass shower. What I didn't like was that the vendor did NOT send me 12 bars. They only sent 10. didn't realize it till I was putting them away."
Bathing Soap,amazon.com,Pears Transparent Original Soap,22-12-17 0:00,Good soap at a great price.,Best price one can get 12 pack soap for. Plus I got free shipping due to Prime account and Amazon delivers great with prime account. Product enough to cover 8-10 months for sure
Bathing Soap,amazon.com,Pears Transparent Original Soap,22-12-17 0:00,Five Stars,Best Face soap ever.
Bathing Soap,amazon.com,Pears Transparent Original Soap,16-12-17 0:00,One Star,In the package it's 125 g but the delivered package is just 100g.
Bathing Soap,amazon.com,Pears Transparent Original Soap,13-12-17 0:00,Happy as I can be,"I ordered this soap despite the negative reviews, I found the product to be exactly as advertised and couldn't be happier with my purchase. The negative reviews makes me wonder if maybe the people would find a problem with everything."
