review,rating,header,SourcePortal,Key_Column
Stopped off in Singapore for a short visit as part of our anniversary trip. Cannot fault it made it extra special for us by leaving complimentary balloons strawberries and wine in our room. Staff going that extra mile to please guest and genuine.Check in...More,5,Faultless visit,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
We just had two heavenly nights at the Fullerton a luxury hotel contained within the old Singapore Post Office building. Amazingly I had stayed here once before fifteen years ago and they still had my (very old) address and contact details. It's this attention to...More,5,Up there with the best,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Soaked by the humidity and then a downpour we decided to seek refuge in the hotel and have a bite to eat. Despite our bedraggled appearance we were warmly welcomed and taken to the central eating area. Service was great ( a little OTT but...More,4,Welcome relief,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Despite not staying at the Fullerton Hotel we certainly wanted to take a look at the interior and weigh up the High Tea options available to guests and residents of the Hotel. The grandeur and history of the Hotel emanates from all angles the staff...More,4,Renowned hotel,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
I have been staying in this hotel at the end of May.Arrived at 3.30pm the room was not ready. Staff were hopeless. Only explanation gave me we were fully booked last night. But check out at 11am or 12pm. Call the manager the number...More,1,Very Disappointed,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Return visit to the same place but it was totally revamped! This time round they had capsules instead of the previous bunk beds. The floors were tiled and the ladder were one of the easier to climb. Service staff remain professional and friendly. They now...More,5,Secretly revamped - I was surprised!,TripAdvisor,Quarters Hostel_TripAdvisor
Thoroughly enjoyed my stay here. Good location value prices situated along a quaint street of famous eats (the local Yong tau foo stall across Quarters is a must-try so are the crepes at O Compotoire!). Night life is a sight to see with Singapore River...More,5,Clean chic comfortable!,TripAdvisor,Quarters Hostel_TripAdvisor
This hostel is really nice and tidy. Always clean even the share bathrooms not too much crowded good basic breakfast WiFi perfectly reception in the room; close to the station night city life mall and Clarke quay. Very cheap and good value for money!,5,Good money value,TripAdvisor,Quarters Hostel_TripAdvisor
Such a cozy hostel which is located on the very heart of city.  Itâ€™s very close to MRT and itâ€™s very convenient to find good food and good supper. Itâ€™s just walking distance to Clarke Quay to enjoy the very cool night life in Singapore...More,4,Cozy hostel,TripAdvisor,Quarters Hostel_TripAdvisor
We used to stay on 2016 and 23-25 March for 5 person.. Family friendly hostel.. The room and facilities still remain the same.. Bathroom always clean as we expected.. Eggs also available for breakfast .. Hot water for baby's food at anytime.. Location also our...More,5,Still the best hostel for family,TripAdvisor,Quarters Hostel_TripAdvisor
Hotel is well located next to boat quay and walking distance to city hall. Value for money as singapore is very expensive. Decent size rooms simple breakfast and no frills property. Perfect for a short stay,5,Nice compact hotel in central area,TripAdvisor,The Quay Hotel_TripAdvisor
This is a small boutique hotel; a three star. Itâ€™s fair the reception area is very small the rooms are nice - clean and an okay size bathrooms also clean; all very modern. Donâ€™t expect a view from the room or anything of the sort....More,3,Fair,TripAdvisor,The Quay Hotel_TripAdvisor
Caught bus from Airport.  The hotel is conveniently on one of airport bus runs.  It's only a small place but the staff are friendly and helpful; the rooms are clean and adequate and they have a reasonable buffet breakfast.  It is a short walk to...More,4,Good location and good value for money,TripAdvisor,The Quay Hotel_TripAdvisor
Small hotel in an excellent location very close to Boat Quay and a short walk to Clarke Quay.Walk able to every major attraction.Room small and no wardrobe or hanging space and only really suitable for a maximum of two nights.,3,great location for Boat Quay eating and drinking,TripAdvisor,The Quay Hotel_TripAdvisor
Extremely nice place to stay. Close to everything . Excellent and very friendly staff. Breakfast could be better. It is in the centre of the town and all worthwhile places are walking distance. Bus stop is almost inside the hotel. Value for money. Rooms could...More,5,Well located,TripAdvisor,The Quay Hotel_TripAdvisor
It was very nice hotel polite staff clean room the only problem was a little noise of the room beside us But this is not Hotel fault The fault was the chinese tourists.we spend 3 night there and also the food was okMore,4,Nice clean,TripAdvisor,Hotel Clover The Arts_TripAdvisor
This is an interesting hotel. We had an inside room and it was small but had everything we required. Clean and comfortable.. It is very convenient for Clarkes Quay and the river area. Staff very helpful and friendly.Breakfast was at the 'sister' hotel just around...More,5,Small but comfortable,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Good breakfast good neighbourhood very confortable bed and very confortable room. Super clean and tidy. Better than I expected. Rooms look way better than the corridors and reception.Very small room but that's what you get when you want an affordable and comfortable room in...More,4,Good for Singapore!,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Visited during a stop over to Australia on a family trip. The hotel was tucked neatly between various shops and was clean and tidy with helpful staff. The rooms were relatively small but the old adage 'you get what you pay for' applies and I...More,4,A great budget hotel,TripAdvisor,Hotel Clover The Arts_TripAdvisor
The hotel is ok for a single person staying or a couple travelling (very light).  Pros:  clean room and all essentials are thereCons: room is a shoe box - in the toilet wasnâ€™t possible to sit down straight as knees would be right up...More,2,Not impressed..,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Excellent place to stay if you like some peace and quiet. Private and relaxing. Clean. Suitable for business or study trips. Great for doing some work during your stay. Well designed and thought through interiors.More,5,very private,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
Ascott Raffled Place was home for three months to me and my husband. It was strikingly clean and well organized from check in to check out and living in between. Staff is well trained friendly and very supportive and service oriented. Pool on 19th floor...More,5,Propably one of the BEST serviced and well organized apartments worldwide I have ever been to!,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
I visited during Japan's one of the biggest holiday called Golden week. It was my 4th time to visit singapore and I do love this area the most.  I only chose this hotel because it is a service apartment with full kitchen. During my 5...More,5,very comfortable stay,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
This is an outstanding place to enjoy a few days.  Just steps from the MRT It has a warm inviting lobby and wonderful people staffing it.  As with many modern hotels you must swipe your key card before ascending in the elevator; a security feature...More,5,I would give this 6 stars if I could,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
First trip to Singapore this hotel makes our trip so memorable. Huge room rare in this area. Nice staff service is exceptional. Walking distance to several places: 2 mins walk to Lau Pa Sat 5 mins to Merlion 20 mins to the Garden By The...More,5,Great Service,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
Nice little hotel with tiny well appointed rooms. Rooms where clean and drinks restocked each dayThe location is great close to all transport and less then $30 ride from the airport by taxicheckout was midday so no rushReception staff where polite friendly...More,4,Central Locatation for a Father & Son stopover,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
This hotel was efficient confortable and centered! It was the perfect relation between price and quality! The breakfast was good and the little roof terrace nice! Perfect for people who look for an hotel with convinient prices!More,4,Perfect location and good prices!,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
Just here for the weekend used to live in Singapore and had plenty to do so all I needed was a soft bed and a hot shower. The room was tight but enough for what I needed. Could maybe have used a bit more closet...More,5,Compact but comfortable,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
The leaked toilet is not serious it just dripped all day all night. I believed the water leaked slowly from the tank. The sound was ironically soothing though. Not annoying. I guess that was why I didn't say anything bad about it when checking out....More,4,Clean affordable room with a leaking toilet,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
Hotel is well situated for all attractions. MRT Clarkeâ€™s key is 5 minutes away. Staff are friendly and helpful allowed us to check in at 8 am after an over night flight for 20 dollars! This was much appreciated. Beds are comfy and air con...More,4,Visit to singapore,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
The hotel is clean cozy and the staffs are very friendly. They provide handphone for the guest and you can use it for local calls and browsing internet as well while your outside the property and it was a big help for us. Thumbs up!!!More,5,Excellent,TripAdvisor,Hotel Clover 7_TripAdvisor
Compact hotel with pleasant and helpful staff within a few minutesâ€™ walk of Clarke Quay metro and a short distance from the central attractions - Clarke Quay Boat Quay China Town Asian Civilisations Museum etc.The hotel is fitted out to a good standard and...More,4,Central Location,TripAdvisor,Hotel Clover 7_TripAdvisor
First of all let me say that the Clover7 is stylish modern decor clean and cosy.  That's the good side!My wife and I though not extra large are not the smallest of people which caused a problem.  The rooms are tiny not small but...More,3,Lovely fittings shame about the space,TripAdvisor,Hotel Clover 7_TripAdvisor
The smallest room I have ever stayed in. Prices are high in Singapore and I wanted a central location so after all I can live with the fact that ths room was cramped.Singapore is a great city. Enjoy it!More,3,Cramped but clean,TripAdvisor,Hotel Clover 7_TripAdvisor
To cut it short the location is the only reason why someone should book a room here - it is close to the bus and metro stations and if you want you can walk to some of the main attractions of the city. The rooms...More,3,Avoid it if you can,TripAdvisor,Hotel Clover 7_TripAdvisor
Good service very friendly especially Ms. Wong. She is kind polite and gives warm service.The place has a good location - near mall and chinatown. The room is clean with functioning aircon and refrigeratorAlso near clarke quay station bus station and taxi stand,5,Good service,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
My family and I spent our vacation from May 23 to 26..our first travel in Singapore and stayed in this hotel..accommodation was great food was ok but to top it all was the service provided to us..location was perfect..highly recommend this hotel for budget conscious...More,4,Vacation,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
At first asked for another room  just after seeing the first one. It was very shabby and stinked horribly with some detergent or mothballs. The second room was a little bit better and I was too tired to look for another hotel. I will not...More,2,Horrible fault,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
This location is walkable to Riverside walk China town Buggy street Bus Access Easy access for Taxi DNA Helix bridge Merlion MRT variety of food stall in Clarke Quay and Fort Canning Park. Family stay was nice comfortable with all promised free breakfast tea and...More,4,Comfortable family stay with walk-able attractions,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
The best thing of the hotel is the location 3 minute walking to the subway walking distance to Chinatown. The staff was really kind with us.The rooms are small and the buffet breakfast is average. Wifi wasnâ€™t good slow and was hard to connect...More,3,An average hotel with great location,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
We stayed at Champion Hotel for three nights and found our stay and experience pleasurable and value for money.The good aspects of our stay involved the friendly staff at reception and cleaners. We have to credit one member of the maintenance staff for helping...More,3,Pleasant stay,TripAdvisor,Champion Hotel City_TripAdvisor
Although I was in transit and checked in at 11pm it had everything I needed.Very small but for $92 I just need a bed and shower before my next flight. It is across the road from Clark Quay plaza and a couple of hundred...More,5,Very practical,TripAdvisor,Champion Hotel City_TripAdvisor
I have visited their hotel from 8 May to 11 May unfortunately there were many fleas.  Bites are itchy and painful. Although the hotel is convenient and the environment is ok. I feel really upset and painful.,1,Hotel is convenient but too many fleas bites me,TripAdvisor,Champion Hotel City_TripAdvisor
What a tiny little gem. Well located next to Clark Quay MRT and Clark Quay Central across the street. Rooms are itsy but well designed and quiet. It didn't bother me that I did not have a window. Easy walk to Chinatown. The mall across...More,5,Perfect,TripAdvisor,Champion Hotel City_TripAdvisor
Perfect for a quick stay in a central location. Rooms are nice and clean a little small but perfect for a short stay. Staff are helpful. Late check out at 12pm which is good and they held our bags all day for not charge. Overall...More,4,Quick stay,TripAdvisor,Champion Hotel City_TripAdvisor
