S.No,Headline,review
New York Times,US Port Operator Under $300M Fraud Investigation,"A major Indian-owned US port and logistics group is under federal investigation after a $300 million payment fraud was uncovered across its terminal operations in Los Angeles and Houston, as well as its renewable energy projects in Texas."
Wall Street Journal,Supply Chain Giant Faces Vendor Fraud Charges,"The conglomerate’s US supply chain arm is accused of submitting fake invoices for warehousing and trucking services between California and New York, triggering a probe by the US Coast Guard and Homeland Security Investigations."
New York Times,SEC Probes Offshore Payments by Port Company,The US Securities and Exchange Commission is examining suspicious cross-border payments from the group’s New Jersey port terminal to shell companies registered in Delaware and Nevada.
Wall Street Journal,Internal Audit Finds Ghost Contracts in California,"An internal review at the company’s Oakland port facility uncovered ghost contracts and duplicate vendor payments to non-existent dredging firms, prompting management suspension of key finance staff."
New York Times,US Clients Pause Deals Amid Fraud Scandal,"Several major US logistics clients, including East Coast shipping lines, have halted new contracts as investigations into the Indian conglomerate’s alleged payment fraud in US green energy installations deepen."
Wall Street Journal,Federal Maritime Commission Requests Records,The FMC has formally requested transaction logs from the firm’s US port subsidiaries amid allegations of layered fund transfers and missing invoice documentation.
New York Times,DOJ Considers FCPA Actions,US Department of Justice officials are evaluating potential FCPA violations related to offshore payments linked to the company’s Miami biodiesel and solar farm contractors.
Wall Street Journal,ERP Breach Exposes Unauthorized Payments,"Investigators found unauthorized overrides in the SAP ERP at the group’s Savannah port operations, resulting in millions in payments to unnamed fuel suppliers."
New York Times,US Subsidiary CFO Resigns Over Fraud,The Chief Financial Officer of the conglomerate’s US logistics arm resigned after preliminary findings tied him to oversight failures in terminal and renewable energy vendor payments.
Wall Street Journal,Phantom Fuel Suppliers Bilked $50M,"More than $50 million was paid to fictitious bunker fuel suppliers registered in Florida, with payments traced back to the company’s Port Everglades operations."
New York Times,Cyber Breach Triggers Fraud in Solar Division,A cybersecurity incident in the US renewable energy unit led to forged power purchase agreements and fake payments to Indiana-based solar EPC contractors.
Wall Street Journal,Whistleblower Exposes East Coast Invoice Scam,A finance team insider in Charleston flagged inflated container handling invoices and unauthorized payment approvals at the company’s South Carolina terminal.
New York Times,Shares Slump After Fraud Reports in USA,Shares fell 18% on the NYSE after reports emerged detailing the alleged payment fraud within the group’s US logistics and green energy divisions.
Wall Street Journal,Forensic Audit Launched in US Operations,A leading forensic accounting firm has been hired to trace payment trails and verify vendor legitimacy across the conglomerate’s US supply chain network.
New York Times,Offshore Routing via US Entities Sparks Inquiry,Payments routed through US-registered LLCs in Delaware and Wyoming have drawn scrutiny from the IRS and FinCEN over potential money laundering.
Wall Street Journal,Federal Reserve Warns Banks on Payments,The Federal Reserve has alerted US banks to monitor large-value payments related to the conglomerate’s US subsidiaries for suspicious activity.
New York Times,Legitimate US Vendors Report Payment Diversions,"Several US marine service companies claim their dues were diverted to lookalike vendor codes, leaving genuine contractors unpaid across Gulf Coast ports."
Wall Street Journal,Automation Bot Under Scrutiny in Chicago,A payment automation bot used in the company’s Chicago logistics hub is under review for scheduling unauthorized payments to dummy accounts.
